sk_id,created_at,updated_at,deleted_at,fk_r_billing_engine_ref_cd,x_invoice_item_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,x_created_at,fk_s_change_context_id_cr,fk_s_change_context_id_dl,sk_id_raw
11E71376FB0E5A8DA211020AF2129A61,"2017-03-27 22:25:39.733","2017-03-27 22:25:39.737",NULL,STRIPE,in_163yKpHiCtHGC78Fonpk7KU3-0,PRIMARY,...,...,"2015-05-18 17:11:51",11E71376FB0E2E7ABCDA06616AC582AF,NULL,...
11E71376FC681EE2A211020AF2129A61,"2017-03-27 22:25:41.999","2017-03-27 22:25:42.004",NULL,STRIPE,in_166VhOHiCtHGC78FFOy8TlkV-0,PRIMARY,...,...,"2015-05-25 17:13:38",11E71376FC6808C5BCDA06616AC582AF,NULL,...
11E7137708C678B5A211020AF2129A61,"2017-03-27 22:26:02.750","2017-03-27 22:26:02.755",NULL,STRIPE,in_16HkXLHiCtHGC78FfLdFtDLb-0,PRIMARY,...,...,"2015-06-25 17:17:43",11E7137708C6663FBCDA06616AC582AF,NULL,...
11E713772C1D4109A211020AF2129A61,"2017-03-27 22:27:02.039","2017-03-27 22:27:02.044",NULL,STRIPE,in_16ScqVHiCtHGC78FluFrZ9R4-0,PRIMARY,...,...,"2015-07-25 17:18:27",11E713772C1CAA1EBCDA06616AC582AF,NULL,...
11E71377897FF5D6A211020AF2129A61,"2017-03-27 22:29:38.714","2017-03-27 22:29:38.719",NULL,STRIPE,in_16draCHiCtHGC78Fa2K794Rp-0,PRIMARY,...,...,"2015-08-25 17:16:04",11E71377897FE56BBCDA06616AC582AF,NULL,...
11E71377B0F1018DA211020AF2129A61,"2017-03-27 22:30:44.886","2017-03-27 22:30:44.890",NULL,STRIPE,in_16p6gmHiCtHGC78FnJ3F4rV5-0,PRIMARY,...,...,"2015-09-25 17:37:20",11E71377B0F0D5A2BCDA06616AC582AF,NULL,...
11E71377C10F7185A211020AF2129A61,"2017-03-27 22:31:11.929","2017-03-27 22:31:11.931",NULL,STRIPE,ii_16tprsHiCtHGC78F1cHtsWSQ,SHIPPING,...,NULL,"2015-10-08 18:40:20",11E71377C1110FCFBCDA06616AC582AF,NULL,...
11E71377C112A5D8A211020AF2129A61,"2017-03-27 22:31:11.949","2017-03-27 22:31:11.952",NULL,STRIPE,ii_16tprsHiCtHGC78FFcsEYGvI,SHIPPING,...,NULL,"2015-10-08 18:40:20",11E71377C11429A5BCDA06616AC582AF,NULL,...
11E71377C11564FBA211020AF2129A61,"2017-03-27 22:31:11.967","2017-03-27 22:31:11.970",NULL,STRIPE,ii_16tprrHiCtHGC78FKVscz72H,SHIPPING,...,NULL,"2015-10-08 18:40:19",11E71377C116EE8DBCDA06616AC582AF,NULL,...
11E71377C118241EA211020AF2129A61,"2017-03-27 22:31:11.986","2017-03-27 22:31:11.989",NULL,STRIPE,ii_16tprtHiCtHGC78F0JzmzTNe,SHIPPING,...,NULL,"2015-10-08 18:40:21",11E71377C119B6CDBCDA06616AC582AF,NULL,...
