fk_r_billing_engine_ref_cd,x_invoice_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_hub_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,in_163yKpHiCtHGC78Fonpk7KU3,...,PRIMARY,...,...,...,"2017-03-27 22:25:39.723","2017-03-27 22:25:39.725","2015-05-18 17:11:51",NULL,NULL
STRIPE,in_166VhOHiCtHGC78FFOy8TlkV,...,PRIMARY,...,...,...,"2017-03-27 22:25:41.989","2017-03-27 22:25:42.024","2015-05-25 17:13:38",NULL,NULL
STRIPE,in_16HkXLHiCtHGC78FfLdFtDLb,...,PRIMARY,...,...,...,"2017-03-27 22:26:02.740","2017-03-27 22:26:02.794","2015-06-25 17:17:43",NULL,NULL
STRIPE,in_16ScqVHiCtHGC78FluFrZ9R4,...,PRIMARY,...,...,...,"2017-03-27 22:27:02.026","2017-03-27 22:27:02.128","2015-07-25 17:18:27",NULL,NULL
STRIPE,in_16draCHiCtHGC78Fa2K794Rp,...,PRIMARY,...,...,...,"2017-03-27 22:29:38.704","2017-03-27 22:29:38.948","2015-08-25 17:16:04",NULL,NULL
STRIPE,in_16p6gmHiCtHGC78FnJ3F4rV5,...,PRIMARY,...,...,...,"2017-03-27 22:30:44.875","2017-03-27 22:30:44.935","2015-09-25 17:37:20",NULL,NULL
STRIPE,in_16tprtHiCtHGC78Fg22CcX6D,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:12.074","2017-03-27 22:31:12.128","2015-10-08 18:40:21",NULL,NULL
STRIPE,in_16uCL3HiCtHGC78FDshlepnJ,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:14.182","2017-03-27 22:31:14.288","2015-10-09 18:39:57",NULL,NULL
STRIPE,in_16uYopHiCtHGC78Fj8cDmJR7,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:17.181","2017-03-27 22:31:17.506","2015-10-10 18:40:11",NULL,NULL
STRIPE,in_16uvILHiCtHGC78FMATza3oA,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:22.232","2017-03-27 22:31:22.671","2015-10-11 18:40:09",NULL,NULL
STRIPE,in_16vHlGHiCtHGC78F2ZlS8JY0,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:25.134","2017-03-27 22:31:25.215","2015-10-12 18:39:30",NULL,NULL
STRIPE,in_16veEqHiCtHGC78FPcJScqrU,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:26.823","2017-03-27 22:31:26.860","2015-10-13 18:39:32",NULL,NULL
STRIPE,in_16w0iQHiCtHGC78FGUew9LDt,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:29.389","2017-03-27 22:31:29.609","2015-10-14 18:39:34",NULL,NULL
STRIPE,in_16wNByHiCtHGC78FcyuepGHG,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:33.011","2017-03-27 22:31:33.407","2015-10-15 18:39:34",NULL,NULL
STRIPE,in_16wjfRHiCtHGC78Fb9ITHLv0,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:38.001","2017-03-27 22:31:38.270","2015-10-16 18:39:29",NULL,NULL
STRIPE,in_16x68rHiCtHGC78FXSD5f0y1,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:41.293","2017-03-27 22:31:41.563","2015-10-17 18:39:21",NULL,NULL
STRIPE,in_16xScWHiCtHGC78FE6bu7uDk,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:45.219","2017-03-27 22:31:45.501","2015-10-18 18:39:28",NULL,NULL
STRIPE,in_16xp5zHiCtHGC78FaAL6k2xy,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:47.956","2017-03-27 22:31:48.026","2015-10-19 18:39:23",NULL,NULL
STRIPE,in_16yBZSHiCtHGC78Ff8THGU76,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:49.910","2017-03-27 22:31:50.142","2015-10-20 18:39:18",NULL,NULL
STRIPE,in_16yY3DHiCtHGC78FyI1uRMjT,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:53.765","2017-03-27 22:31:54.022","2015-10-21 18:39:31",NULL,NULL
STRIPE,in_16yuWRHiCtHGC78FfFj6o1YQ,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:57.293","2017-03-27 22:31:57.629","2015-10-22 18:39:11",NULL,NULL
