fk_r_billing_engine_ref_cd,x_invoice_item_id,sk_id,fk_r_revenue_source_ref_cd,fk_x_billing_account_hub_id,fk_x_subscription_r_plan_lnk_id,fk_s_change_context_id_cr,created_at,updated_at,x_created_at,fk_s_change_context_id_dl,deleted_at
STRIPE,in_163yKpHiCtHGC78Fonpk7KU3-0,...,PRIMARY,...,...,...,"2017-03-27 22:25:39.733","2017-03-27 22:25:39.737","2015-05-18 17:11:51",NULL,NULL
STRIPE,in_166VhOHiCtHGC78FFOy8TlkV-0,...,PRIMARY,...,...,...,"2017-03-27 22:25:41.999","2017-03-27 22:25:42.004","2015-05-25 17:13:38",NULL,NULL
STRIPE,in_16HkXLHiCtHGC78FfLdFtDLb-0,...,PRIMARY,...,...,...,"2017-03-27 22:26:02.750","2017-03-27 22:26:02.755","2015-06-25 17:17:43",NULL,NULL
STRIPE,in_16ScqVHiCtHGC78FluFrZ9R4-0,...,PRIMARY,...,...,...,"2017-03-27 22:27:02.039","2017-03-27 22:27:02.044","2015-07-25 17:18:27",NULL,NULL
STRIPE,in_16draCHiCtHGC78Fa2K794Rp-0,...,PRIMARY,...,...,...,"2017-03-27 22:29:38.714","2017-03-27 22:29:38.719","2015-08-25 17:16:04",NULL,NULL
STRIPE,in_16p6gmHiCtHGC78FnJ3F4rV5-0,...,PRIMARY,...,...,...,"2017-03-27 22:30:44.886","2017-03-27 22:30:44.890","2015-09-25 17:37:20",NULL,NULL
STRIPE,ii_16tprsHiCtHGC78F1cHtsWSQ,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:11.929","2017-03-27 22:31:11.931","2015-10-08 18:40:20",NULL,NULL
STRIPE,ii_16tprsHiCtHGC78FFcsEYGvI,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:11.949","2017-03-27 22:31:11.952","2015-10-08 18:40:20",NULL,NULL
STRIPE,ii_16tprrHiCtHGC78FKVscz72H,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:11.967","2017-03-27 22:31:11.970","2015-10-08 18:40:19",NULL,NULL
STRIPE,ii_16tprtHiCtHGC78F0JzmzTNe,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:11.986","2017-03-27 22:31:11.989","2015-10-08 18:40:21",NULL,NULL
STRIPE,ii_16uCL0HiCtHGC78F9lx74q6e,...,SHIPPING,...,NULL,...,"2017-03-27 22:31:13.814","2017-03-27 22:31:13.817","2015-10-09 18:39:54",NULL,NULL
