fk_x_invoice_item_hub_id,created_at,fk_s_change_context_id,fk_x_currency_ref_cd,charge_amt,discountable_ind,proration_ind,period_start_at,period_end_at,description,row_hash
...,"2017-03-27 22:25:39.737",...,USD,0,1,0,"2015-05-18 17:11:51","2015-05-25 17:11:51",NULL,...
...,"2017-03-27 22:25:42.004",...,USD,1900,1,0,"2015-05-25 17:11:51","2015-06-25 17:11:51",NULL,...
...,"2017-03-27 22:26:02.755",...,USD,1900,1,0,"2015-06-25 17:11:51","2015-07-25 17:11:51",NULL,...
...,"2017-03-27 22:27:02.044",...,USD,1900,1,0,"2015-07-25 17:11:51","2015-08-25 17:11:51",NULL,...
...,"2017-03-27 22:29:38.719",...,USD,1900,1,0,"2015-08-25 17:11:51","2015-09-25 17:11:51",NULL,...
...,"2017-03-27 22:30:44.890",...,USD,1900,1,0,"2015-09-25 17:11:51","2015-10-25 17:11:51",NULL,...
...,"2017-03-27 22:31:11.931",...,USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0391781075",...
...,"2017-03-27 22:31:11.952",...,USD,998,1,0,NULL,NULL,"UPS label: 1Z61897V0394083083",...
...,"2017-03-27 22:31:11.970",...,USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0392491065",...
...,"2017-03-27 22:31:11.989",...,USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0393931168",...
...,"2017-03-27 22:31:13.817",...,USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0394773131",...
...,"2017-03-27 22:31:13.835",...,USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0395544770",...
...,"2017-03-27 22:31:13.854",...,USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0393797091",...
...,"2017-03-27 22:31:13.872",...,USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0399353219",...
...,"2017-03-27 22:31:13.891",...,USD,1619,1,0,NULL,NULL,"USPS label: 9461210200828759381871",...
...,"2017-03-27 22:31:13.910",...,USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0399887983",...
...,"2017-03-27 22:31:13.930",...,USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0392053234",...
...,"2017-03-27 22:31:13.949",...,USD,1027,1,0,NULL,NULL,"UPS label: 1Z61897V0393243205",...
...,"2017-03-27 22:31:13.968",...,USD,924,1,0,NULL,NULL,"UPS label: 1Z61897V0391571266",...
