fk_x_invoice_hub_id,fk_x_invoice_item_hub_id,sk_id,fk_s_change_context_id_cr,created_at,updated_at,fk_s_change_context_id_dl,deleted_at
...,...,...,...,"2017-03-27 22:25:39.735","2017-03-27 22:25:39.735",NULL,NULL
...,...,...,...,"2017-03-27 22:25:42.002","2017-03-27 22:25:42.002",NULL,NULL
...,...,...,...,"2017-03-27 22:26:02.753","2017-03-27 22:26:02.753",NULL,NULL
...,...,...,...,"2017-03-27 22:27:02.041","2017-03-27 22:27:02.041",NULL,NULL
...,...,...,...,"2017-03-27 22:29:38.716","2017-03-27 22:29:38.716",NULL,NULL
...,...,...,...,"2017-03-27 22:30:44.888","2017-03-27 22:30:44.888",NULL,NULL
...,...,...,...,"2017-03-27 22:31:12.091","2017-03-27 22:31:12.091",NULL,NULL
...,...,...,...,"2017-03-27 22:31:12.099","2017-03-27 22:31:12.099",NULL,NULL
...,...,...,...,"2017-03-27 22:31:12.108","2017-03-27 22:31:12.108",NULL,NULL
...,...,...,...,"2017-03-27 22:31:12.083","2017-03-27 22:31:12.083",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.250","2017-03-27 22:31:14.250",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.259","2017-03-27 22:31:14.259",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.267","2017-03-27 22:31:14.267",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.224","2017-03-27 22:31:14.224",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.233","2017-03-27 22:31:14.233",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.242","2017-03-27 22:31:14.242",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.207","2017-03-27 22:31:14.207",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.216","2017-03-27 22:31:14.216",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.191","2017-03-27 22:31:14.191",NULL,NULL
...,...,...,...,"2017-03-27 22:31:14.199","2017-03-27 22:31:14.199",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.478","2017-03-27 22:31:17.478",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.486","2017-03-27 22:31:17.486",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.461","2017-03-27 22:31:17.461",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.470","2017-03-27 22:31:17.470",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.428","2017-03-27 22:31:17.428",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.436","2017-03-27 22:31:17.436",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.445","2017-03-27 22:31:17.445",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.453","2017-03-27 22:31:17.453",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.403","2017-03-27 22:31:17.403",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.412","2017-03-27 22:31:17.412",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.420","2017-03-27 22:31:17.420",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.377","2017-03-27 22:31:17.377",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.386","2017-03-27 22:31:17.386",NULL,NULL
...,...,...,...,"2017-03-27 22:31:17.395","2017-03-27 22:31:17.395",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.624","2017-03-27 22:31:22.624",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.633","2017-03-27 22:31:22.633",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.641","2017-03-27 22:31:22.641",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.650","2017-03-27 22:31:22.650",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.563","2017-03-27 22:31:22.563",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.572","2017-03-27 22:31:22.572",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.581","2017-03-27 22:31:22.581",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.554","2017-03-27 22:31:22.554",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.537","2017-03-27 22:31:22.537",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.546","2017-03-27 22:31:22.546",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.529","2017-03-27 22:31:22.529",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.503","2017-03-27 22:31:22.503",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.512","2017-03-27 22:31:22.512",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.520","2017-03-27 22:31:22.520",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.478","2017-03-27 22:31:22.478",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.486","2017-03-27 22:31:22.486",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.495","2017-03-27 22:31:22.495",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.453","2017-03-27 22:31:22.453",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.461","2017-03-27 22:31:22.461",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.469","2017-03-27 22:31:22.469",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.419","2017-03-27 22:31:22.419",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.428","2017-03-27 22:31:22.428",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.436","2017-03-27 22:31:22.436",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.444","2017-03-27 22:31:22.444",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.598","2017-03-27 22:31:22.598",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.589","2017-03-27 22:31:22.589",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.615","2017-03-27 22:31:22.615",NULL,NULL
...,...,...,...,"2017-03-27 22:31:22.607","2017-03-27 22:31:22.607",NULL,NULL
...,...,...,...,"2017-03-27 22:31:25.193","2017-03-27 22:31:25.193",NULL,NULL
...,...,...,...,"2017-03-27 22:31:25.159","2017-03-27 22:31:25.159",NULL,NULL
...,...,...,...,"2017-03-27 22:31:25.168","2017-03-27 22:31:25.168",NULL,NULL
...,...,...,...,"2017-03-27 22:31:25.176","2017-03-27 22:31:25.176",NULL,NULL
...,...,...,...,"2017-03-27 22:31:25.185","2017-03-27 22:31:25.185",NULL,NULL
...,...,...,...,"2017-03-27 22:31:25.143","2017-03-27 22:31:25.143",NULL,NULL
...,...,...,...,"2017-03-27 22:31:25.151","2017-03-27 22:31:25.151",NULL,NULL
...,...,...,...,"2017-03-27 22:31:26.840","2017-03-27 22:31:26.840",NULL,NULL
